    2.7e-70  228.2   0.7    3.3e-70  227.9   0.7    1.1  1  KAK0507821.1       hypothetical protein JMJ35_009710 [Cladoni
      1e-73  239.3   1.6    1.3e-73  239.0   1.6    1.1  1  KAL8923920.1       MAG: hypothetical protein Q9208_004357 [Py
    7.8e-71  230.0   0.3    9.1e-71  229.8   0.3    1.0  1  XP_037152601.1     uncharacterized protein HO133_000226 [Leth
    4.5e-71  230.8   2.2    5.9e-71  230.4   2.2    1.1  1  KAH3949630.1       hypothetical protein HBH53_086040 [Parasta
    5.2e-67  217.5   1.7    6.8e-67  217.1   1.7    1.1  1  CAD6445426.1       81bb91b6-6d1d-4362-8c10-3ee3db0c7a44 [Scle
    1.9e-66  215.7   0.0    2.4e-66  215.4   0.0    1.1  1  EZF31928.1         hypothetical protein H101_04478 [Trichophy
    3.3e-66  214.9   0.1    3.7e-66  214.7   0.1    1.0  1  CAD6593850.1       MAG: hypothetical protein ASARMPREDX12_007
    1.3e-68  222.7   4.1    1.7e-68  222.4   4.1    1.1  1  KAJ5464102.1       hypothetical protein N7475_007237 [Penicil
    4.4e-62  201.5   1.6    5.4e-62  201.2   1.6    1.1  1  KAG9233489.1       hypothetical protein BJ875DRAFT_442183 [Am
    2.4e-74  241.4   0.8    2.9e-74  241.1   0.8    1.1  1  KAI0398552.1       hypothetical protein F5Y17DRAFT_8323 [Xyla
    2.3e-66  215.4   0.5    2.9e-66  215.1   0.5    1.1  1  XXH01578.1         hypothetical protein Hte_007938 [Hypoxylon
    5.8e-74  240.1   0.2    7.1e-74  239.9   0.2    1.1  1  CAG8949334.1       hypothetical protein HYFRA_00004960 [Hymen
    1.1e-72  236.0   1.3    1.3e-72  235.7   1.3    1.1  1  XP_067502988.1     uncharacterized protein K441DRAFT_138187 [
    2.6e-67  218.5   0.4    3.2e-67  218.2   0.4    1.1  1  KAL1984942.1       hypothetical protein VTN96DRAFT_8498 [Rasa
    8.4e-71  229.9   1.3      1e-70  229.6   1.3    1.1  1  KAF2258844.1       hypothetical protein CC78DRAFT_90422 [Lojk
    4.5e-71  230.8   0.2    5.1e-71  230.6   0.2    1.0  1  MCJ1423802.1       hypothetical protein [Sticta canariensis]
    1.7e-75  245.2   0.1    2.1e-75  244.8   0.1    1.1  1  KKY37956.1         hypothetical protein UCDDA912_g02043 [Diap
    2.5e-68  221.8   0.1    3.2e-68  221.4   0.1    1.1  1  XP_069276898.1     uncharacterized protein VTN77DRAFT_5667 [R
    1.7e-73  238.6   0.1    2.2e-73  238.2   0.1    1.2  1  MCJ1462680.1       hypothetical protein [Pseudocyphellaria au
    6.3e-73  236.8   1.5    7.9e-73  236.5   1.5    1.1  1  OCL01216.1         hypothetical protein AOQ84DRAFT_221080 [Gl
    1.5e-71  232.3   0.1    1.9e-71  231.9   0.1    1.1  1  ORY18372.1         hypothetical protein BCR34DRAFT_504701, pa
