   1.4e-139  457.9   0.0   1.6e-139  457.8   0.0    1.0  1  tr|M9QSI0              
   3.7e-131  430.1   0.0   4.6e-131  429.8   0.0    1.0  1  tr|W1J423|pyrH-5       
   3.2e-147  483.1   0.0   3.6e-147  482.9   0.0    1.0  1  tr|F6LWA5|abeH-5       
   1.3e-141  464.7   0.1   1.4e-141  464.5   0.1    1.0  1  HrmQ|tr|C1IHU5         
    1.8e-79  259.7   0.0    2.1e-79  259.4   0.0    1.0  1  BrvH|6FRL              
   1.3e-146  481.2   0.0   1.4e-146  481.0   0.0    1.0  1  VhaA                   
   1.8e-125  411.3   0.0   2.1e-125  411.0   0.0    1.0  1  KtzR|A8CF74|7CT6H      
   3.3e-145  476.5   0.0   3.7e-145  476.3   0.0    1.0  1  tr|A0A1L1QK36          
   8.3e-136  445.5   0.0   9.2e-136  445.3   0.0    1.0  1  tr|A8CF75              
     2e-125  411.3   0.0   2.2e-125  411.1   0.0    1.0  1  ChlB4                  
     2e-104  341.9   0.0   2.3e-104  341.7   0.0    1.0  1  McnD                   
   8.3e-142  465.3   0.0   9.3e-142  465.1   0.0    1.0  1  tr|A1E280              
   2.6e-100  328.3   0.0   3.4e-100  328.0   0.0    1.0  1  HalB|Q71ME2            
    2.4e-94  308.7   0.0    2.7e-94  308.5   0.0    1.0  1  tr|E2IHC5|mibH-5       
    3.4e-99  324.5   0.0    4.2e-99  324.2   0.0    1.0  1  AerJ                   
   2.5e-146  480.3   0.0     3e-146  480.0   0.0    1.0  1  BhaA                   
   4.6e-123  403.5   0.1   5.1e-123  403.3   0.1    1.0  1  CndH                   
   1.9e-125  411.2   0.0   2.3e-125  410.9   0.0    1.0  1  SatH|WP                
    1.2e-70  230.4   0.0    1.4e-70  230.2   0.0    1.0  1  PltM|Q4KCZ3            
     1e-106  349.4   0.0   1.3e-106  349.1   0.0    1.0  1  ApdC|K7WGH6            
     3e-142  466.7   0.0   3.4e-142  466.6   0.0    1.0  1  tr|A4D0H5|pyrH-5       
   3.9e-145  476.2   0.0   4.3e-145  476.1   0.0    1.0  1  tr|A0A0K0P9W9|lzrH1-5  
   6.7e-147  482.1   0.0   7.5e-147  481.9   0.0    1.0  1  tr|G3K6J6|claH-5       
   8.2e-123  402.5   0.0   9.6e-123  402.2   0.0    1.0  1  TiaM                   
     8e-139  455.4   0.0   8.9e-139  455.3   0.0    1.0  1  tr|A0A0K0P8P2          
   2.2e-120  394.7   0.0   2.8e-120  394.3   0.0    1.0  1  XanH                   
   3.5e-116  380.8   0.0   4.1e-116  380.6   0.0    1.0  1  AviH|STVIR             
   4.9e-129  423.3   0.0   5.6e-129  423.1   0.0    1.0  1  sp|P95480|prnA-7       
    1.1e-98  322.9   0.0    1.2e-98  322.7   0.0    1.0  1  CtcP                   
    2.3e-96  315.4   0.1    2.6e-96  315.2   0.1    1.0  1  Nat1                   
    5.4e-06   17.3   0.1    1.1e-05   16.2   0.1    1.5  1  Bmp5                   
   2.2e-142  467.2   0.0     3e-142  466.7   0.0    1.0  1  tr|W5VG40              
   4.9e-142  466.0   0.0   5.5e-142  465.9   0.0    1.0  1  clz5|tr|U6A3L4         
   5.3e-124  406.5   0.0   6.2e-124  406.3   0.0    1.0  1  SgcC3                  
     1e-142  468.2   0.0   1.2e-142  468.1   0.0    1.0  1  pyr29|tr|A3R4S0        
   2.8e-129  424.0   0.1   3.5e-129  423.7   0.1    1.0  1  mpy16|J7H1A1           
   9.4e-139  455.2   0.0     1e-138  455.0   0.0    1.0  1  tr|REBH                
   7.9e-103  336.8   0.1     1e-102  336.5   0.1    1.0  1  NapH2                  
   6.6e-129  422.8   0.0   7.7e-129  422.5   0.0    1.0  1  SimC6?|AF324838        
    1.5e-74  243.4   0.0    2.1e-74  242.9   0.0    1.1  1  Bmp2|tr|A0A139ZY81     
   8.8e-142  465.2   0.0   9.8e-142  465.0   0.0    1.0  1  tr|A0A1W7D4T7|SpmH-5   
   3.7e-123  403.9   0.2     2e-121  398.1   0.3    2.0  2  PltA|sp|Q4KCZ0         
    9.9e-88  286.6   0.0    1.2e-87  286.4   0.0    1.0  1  PrnC|P95482            
   3.9e-112  367.4   0.2   4.5e-112  367.2   0.2    1.0  1  CmdE|Q0VZ69            
      7e-77  251.1   0.0    7.9e-77  251.0   0.0    1.0  1  AetA|A0A861B8S3        
   8.8e-147  481.8   0.0   1.1e-146  481.5   0.0    1.0  1  Tcp21                  
     2e-146  480.5   0.0   2.2e-146  480.4   0.0    1.0  1  tr|E9P162              
    2.7e-56  183.1   0.0    3.7e-56  182.7   0.0    1.1  1  ChlA|A0A077JG66        
    1.6e-34  111.3   0.0    2.6e-33  107.4   0.0    2.0  1  MalA|L0E155            
   1.4e-138  454.6   0.0   1.7e-138  454.4   0.0    1.0  1  tr|G0ZGJ1              
     3e-123  404.3   0.0   3.5e-123  404.1   0.0    1.0  1  CrpH                   
