taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1817868		Candidatus Handelsmaniibacteriota					Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10	2
1822464		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		1
183589		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia multistriata	1
1853224		Rhodothermota	Rhodothermia	Rhodothermales				1
186822		Bacillota	Bacilli	Caryophanales	Paenibacillaceae			1
1869212		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae		Chitinophagaceae bacterium	2
1869227							bacterium	1
1871037		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium	1
1872116		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera	Acidisphaera sp.	1
1872627		Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium	Archangium sp.	1
1872660		Bacteroidota	Saprospiria	Saprospirales	Saprospiraceae	Aureispira	Aureispira sp.	1
1872709		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Allorhizocola	Allorhizocola rhizosphaerae	1
1873484		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus thuongxuanensis	1
1873897		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp.	1
1883		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		6
1883427		Actinomycetota	Actinomycetes				Actinomycetes bacterium	2
188477		Mollusca	Gastropoda		Plakobranchidae	Elysia	Elysia chlorotica	1
1891229		Pseudomonadota	Gammaproteobacteria	Pseudomonadales			Pseudomonadales bacterium	2
1891238		Pseudomonadota	Betaproteobacteria	Burkholderiales			Burkholderiales bacterium	1
1891241		Pseudomonadota	Betaproteobacteria				Betaproteobacteria bacterium	3
1892254		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae			1
1894		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	1
1898104		Bacteroidota					Bacteroidota bacterium	5
1898111		Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae		Cryomorphaceae bacterium	1
1898112		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		Rhodospirillaceae bacterium	13
1899355		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae		Oceanospirillaceae bacterium	1
1903414		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae			1
1904441		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae		Paracoccaceae bacterium	1
1905359		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae		marine bacterium AO1-C	1
1906242		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp.	1
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium	18
1913989		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	12
1917219		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.	1
1917967		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.	1
1919254		Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae			1
1925666		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter sp.	1
1936156		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp.	1
1936990		Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp. KM1	1
1938954		Mucoromycota	Endogonomycetes	Endogonales		Bifiguratus	Bifiguratus adelaidae	1
1940289		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter sp.	1
1948890		Pseudomonadota	Alphaproteobacteria	Rhodobacterales			Rhodobacterales bacterium	1
195250		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 7336	1
196159		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		1
1962156		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL B-24572	1
1977087		Pseudomonadota					Pseudomonadota bacterium	7
1978231		Acidobacteriota					Acidobacteriota bacterium	8
198251		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter		1
1983103		Cyanobacteriota	Cyanophyceae	Synechococcales				1
1986644		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium TMED65	2
1986761		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium TMED34	1
1986868		Pseudomonadota	Alphaproteobacteria	Rickettsiales			Rickettsiales bacterium TMED174	1
2								152
200644		Bacteroidota	Flavobacteriia	Flavobacteriales				1
2006849		Pseudomonadota	Gammaproteobacteria	Lysobacterales			Lysobacterales bacterium	1
200795		Chloroflexota						3
201174		Actinomycetota						6
2013080		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium MarineAlpha5_Bin5	1
2016057		Cyanobacteriota	Cyanophyceae	Oculatellales	Oculatellaceae	Thermocoleostomius	Thermocoleostomius sinensis	1
202097		Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Scapholeberis	Scapholeberis mucronata	1
2021391		Bacteroidota	Flavobacteriia	Flavobacteriales			Flavobacteriales bacterium	1
2022740		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum sp.	1
2024834		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus sp.	1
2024888		Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales			SAR116 cluster bacterium	1
2024893		Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae		Acidiferrobacteraceae bacterium	2
2024894		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		Acidimicrobiaceae bacterium	3
2026724		Chloroflexota					Chloroflexota bacterium	4
2026729		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae		Cytophagaceae bacterium	1
2026730		Bacteroidota	Cytophagia				Cytophagia bacterium	1
2026735		Myxococcota	Myxococcia				Deltaproteobacteria bacterium	4
2026742		Gemmatimonadota					Gemmatimonadota bacterium	4
2026743		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae		Halieaceae bacterium	1
2026754		Pseudomonadota	Gammaproteobacteria	Legionellales			Legionellales bacterium	1
2026763		Myxococcota	Myxococcia	Myxococcales			Myxococcales bacterium	10
2026769		Nitrospinota					Nitrospinota bacterium	1
2026775		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium	3
2026776		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales			Candidatus Pelagibacterales bacterium	1
2026777		Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		Phycisphaeraceae bacterium	3
2026779		Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae		Planctomycetaceae bacterium	2
2026780		Planctomycetota					Planctomycetota bacterium	6
2026781		Candidatus Poribacteria					Candidatus Poribacteria bacterium	5
2026782		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Porticoccaceae		Porticoccaceae bacterium	1
2026786		Pseudomonadota	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium	1
2026788		Pseudomonadota	Alphaproteobacteria	Rickettsiales			Rickettsiales bacterium	2
2026796		Pseudomonadota	Gammaproteobacteria	Thiotrichales			Thiotrichales bacterium	8
2026798		Deinococcota	Deinococci	Trueperales	Trueperaceae		Trueperaceae bacterium	1
2026799		Verrucomicrobiota					Verrucomicrobiota bacterium	2
2026801		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales			Verrucomicrobiales bacterium	2
202907		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas		1
2030829		Chloroflexota	Dehalococcoidia				SAR202 cluster bacterium	2
2033014		Armatimonadota					Armatimonadota bacterium	3
2035772		Candidatus Omnitrophota					Candidatus Omnitrophota bacterium	2
203682		Planctomycetota						1
203683		Planctomycetota	Planctomycetia					1
204428		Chlamydiota						1
204441		Pseudomonadota	Alphaproteobacteria	Rhodospirillales				3
204455		Pseudomonadota	Alphaproteobacteria	Rhodobacterales				2
204457		Pseudomonadota	Alphaproteobacteria	Sphingomonadales				1
2044944		Bacteroidota	Sphingobacteriia	Sphingobacteriales			Sphingobacteriales bacterium	1
2051956		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera sp.	1
2052143		Chloroflexota	Anaerolineae				Anaerolineae bacterium	2
2052146		Acidobacteriota	Blastocatellia				Blastocatellia bacterium	1
2053517		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales			Bdellovibrionales bacterium	1
2053527		Candidatus Zixiibacteriota					Candidatus Zixiibacteriota bacterium	2
2053538		Pseudomonadota	Gammaproteobacteria		Candidatus Competibacteraceae		Candidatus Competibacteraceae bacterium	1
2053541		Bacteroidota	Cytophagia	Cytophagales			Cytophagales bacterium	1
2053569		Lentisphaerota	Lentisphaeria				Lentisphaeria bacterium	4
2053570		Candidatus Latescibacterota					Candidatus Latescibacterota bacterium	1
2053589		Minisyncoccota					Minisyncoccota bacterium	1
2058185		Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae			1
2058949		Evosea	Eumycetozoa	Dictyosteliales				1
2062		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae			3
2080302		Actinomycetota	Acidimicrobiia				Acidimicrobiia bacterium	2
2081523		Acidobacteriota	Terriglobia				Terriglobia bacterium	2
2099671		Candidatus Handelsmaniibacteriota					Candidatus Handelsmanbacteria bacterium	1
210454		Bacillariophyta	Fragilariophyceae	Rhabdonematales	Grammatophoraceae	Grammatophora	Grammatophora oceanica	1
2107688		Cyanobacteriota	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Pleurocapsa	Pleurocapsa sp. CCALA 161	1
2157								1
2163009		Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			Candidatus Poseidoniales archaeon	1
216307		Mollusca	Gastropoda					1
2163881		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	Paenibacillus cremeus	1
216773		Bacillariophyta	Corethrophyceae	Corethrales	Corethraceae	Corethron	Corethron hystrix	1
216820		Bacillariophyta	Fragilariophyceae	Cyclophorales	Cyclophoraceae	Cyclophora	Cyclophora tenuis	1
2200854		Verrucomicrobiota	Opitutia	Puniceicoccales		Candidatus Moanibacter	Candidatus Moanibacter tarae	1
2201156		Actinomycetota	Acidimicrobiia	Acidimicrobiales			Acidimicrobiales bacterium	3
2211643		Ascomycota	Sordariomycetes	Xylariales		Monosporascus	Monosporascus sp. CRB-9-2	1
222805		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	1
223472		Arthropoda	Arachnida	Sarcoptiformes				1
2268199		Myxococcota		Polyangiales	Polyangiaceae		Polyangiaceae bacterium	1
227946		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas graminis	1
228398		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus		1
229219		Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces		1
231623		Rotifera	Eurotatoria	Philodinida	Philodinidae	Rotaria		1
2448052		Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae		Geminicoccaceae bacterium	1
2483200			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Chrysophaeum	Chrysophaeum taylorii	1
2483353		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces triticirhizae	1
2493646		Mollusca	Bivalvia	Unionida	Unionidae	Potamilus	Potamilus streckersoni	1
24966		Streptophyta	Magnoliopsida	Gentianales	Rubiaceae			1
2500179		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Aestuariispiraceae	Hwanghaeella	Hwanghaeella grinnelliae	1
2507902		Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae			1
252141			Dinophyceae	Suessiales	Symbiodiniaceae			1
252671		Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia hemisphaerica	1
2528005		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Stieleria	Stieleria varia	1
2528008		Planctomycetota	Planctomycetia			Rohdeia	Rohdeia mirabilis	1
253288		Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia yamatoensis	1
2557542			Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma retinervis	1
2562237			Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium goreaui	1
2562239			Dinophyceae	Suessiales	Symbiodiniaceae	Effrenium	Effrenium voratum	1
256616		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Parvibaculaceae	Parvibaculum		1
256835		Arthropoda	Insecta	Coleoptera	Chrysomelidae			1
256845		Lentisphaerota						1
2571160		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia		1
2575872		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Kaistiaceae	Bauldia	Bauldia sp.	1
2593643		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea		1
2593676		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		1
2594795		Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinimonas	Chitinimonas arctica	1
2605266		Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae		Caldilineaceae bacterium SB0675_bin_29	1
2605746		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. CAH-3	1
2607806		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Caldora	Caldora sp. SIO3E6	1
2607809		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Symploca	Symploca sp. SIO2E6	1
2607811		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Okeania	Okeania sp. SIO3B5	1
2607816		Cyanobacteriota	Cyanophyceae	Spirulinales	Spirulinaceae	Spirulina	Spirulina sp. SIO3F2	2
2607824		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO2C4	2
2607826		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena	Moorena sp. SIO4E2	1
2608089		Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Ekhidna	Ekhidna sp.	1
2608131		Haptophyta						1
2608996		Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia sp. A1-2	1
2625037		Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Geminocystis		1
2626047		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus		1
2633570		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Aeromicrobium		1
2634635		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Okeania		1
2650926		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aestuariivirgaceae	Aestuariivirga	Aestuariivirga sp.	1
2652724		Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Exaiptasia	Exaiptasia diaphana	2
2663008		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sediminis	1
2685872		Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomarinum	Methylomarinum sp.	1
2691357		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae			1
2692794		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Cylindrospermum	Cylindrospermum sp. FACHB-282	1
2696291								1
2698753		Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Fluviispira		1
